"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"103",8,"Jakobi Meyers",JAC,"WR44","7","2 out of 5","3 out of 5","4 out of 5 stars","+19"
"104",8,"Jayden Reed",GB,"WR45","11","4 out of 5","4 out of 5","5 out of 5 stars","+16"
"105",8,"Matthew Stafford",LAR,"QB15","11","4 out of 5","2 out of 5","3 out of 5 stars","-12"
"106",8,"Jordan Addison",MIN,"WR46","6","4 out of 5","3 out of 5","5 out of 5 stars","+1"
"107",8,"Jared Goff",DET,"QB16","6","3 out of 5","2 out of 5","5 out of 5 stars","+18"
"108",8,"Makai Lemon",PHI,"WR47","10","4 out of 5","3 out of 5","4 out of 5 stars","+5"
"109",8,"MarShawn Lloyd",GB,"RB36","11","4 out of 5","4 out of 5","4 out of 5 stars","+24"
"110",8,"Blake Corum",LAR,"RB37","11","4 out of 5","4 out of 5","5 out of 5 stars","-12"
"111",8,"Dalton Kincaid",BUF,"TE11","7","3 out of 5","4 out of 5","3 out of 5 stars","+10"
"112",8,"Kyler Murray",MIN,"QB17","6","4 out of 5","3 out of 5","5 out of 5 stars","+27"
"113",8,"Rachaad White",WAS,"RB38","7","4 out of 5","3 out of 5","4 out of 5 stars","+2"
"114",8,"Jacory Croskey-Merritt",WAS,"RB39","7","4 out of 5","4 out of 5","4 out of 5 stars","-6"
"115",8,"Jordan Mason",MIN,"RB40","6","4 out of 5","3 out of 5","4 out of 5 stars","-12"
"116",8,"KC Concepcion",CLE,"WR48","11","4 out of 5","3 out of 5","3 out of 5 stars","+10"
"117",8,"Aaron Jones Sr.",MIN,"RB41","6","1 out of 5","4 out of 5","4 out of 5 stars","+2"
"118",8,"Jake Ferguson",DAL,"TE12","14","2 out of 5","4 out of 5","2 out of 5 stars","-4"
"119",8,"Kyle Monangai",CHI,"RB42","10","4 out of 5","4 out of 5","2 out of 5 stars","-18"
"120",8,"Baker Mayfield",TB,"QB18","10","3 out of 5","4 out of 5","2 out of 5 stars","+17"
"121",8,"Jordan Love",GB,"QB19","11","4 out of 5","3 out of 5","4 out of 5 stars","+27"
"122",8,"Dallas Goedert",PHI,"TE13","10","4 out of 5","3 out of 5","4 out of 5 stars","-11"
"123",8,"Isaiah Likely",NYG,"TE14","8","4 out of 5","4 out of 5","3 out of 5 stars","-18"
"124",8,"Khalil Shakir",BUF,"WR49","7","2 out of 5","4 out of 5","4 out of 5 stars","+22"
"125",8,"Jalen Coker",CAR,"WR50","5","4 out of 5","3 out of 5","2 out of 5 stars","+22"
"126",8,"Tyler Shough",NO,"QB20","8","4 out of 5","2 out of 5","3 out of 5 stars","+26"
"127",8,"Romeo Doubs",NE,"WR51","11","4 out of 5","3 out of 5","2 out of 5 stars","+2"
"128",8,"Matthew Golden",GB,"WR52","11","4 out of 5","4 out of 5","5 out of 5 stars","-4"
"129",9,"Malik Willis",MIA,"QB21","6","4 out of 5","4 out of 5","3 out of 5 stars","+37"
"130",9,"Xavier Worthy",KC,"WR53","5","4 out of 5","4 out of 5","2 out of 5 stars","-2"
"131",9,"Juwan Johnson",NO,"TE15","8","4 out of 5","2 out of 5","2 out of 5 stars","+19"
"132",9,"Mark Andrews",BAL,"TE16","13","4 out of 5","4 out of 5","4 out of 5 stars","-5"
"133",9,"Jordyn Tyson",NO,"WR54","8","3 out of 5","5 out of 5","3 out of 5 stars","+9"
"134",9,"Woody Marks",HOU,"RB43","8","3 out of 5","4 out of 5","4 out of 5 stars","0"
"135",9,"De'Zhaun Stribling",SF,"WR55","8","4 out of 5","4 out of 5","2 out of 5 stars","-23"
"136",9,"Tyjae Spears",TEN,"RB44","9","3 out of 5","4 out of 5","3 out of 5 stars","+8"
"137",9,"Tyler Allgeier",ARI,"RB45","14","3 out of 5","4 out of 5","2 out of 5 stars","+6"
"138",9,"Sam Darnold",SEA,"QB22","11","2 out of 5","4 out of 5","4 out of 5 stars","+45"
"139",9,"Chris Rodriguez Jr.",JAC,"RB46","7","3 out of 5","4 out of 5","4 out of 5 stars","-3"
"140",9,"C.J. Stroud",HOU,"QB23","8","3 out of 5","4 out of 5","4 out of 5 stars","+42"
"141",9,"Daniel Jones",IND,"QB24","13","4 out of 5","4 out of 5","4 out of 5 stars","+36"
"142",9,"Deebo Samuel Sr.",SF,"WR56","8","4 out of 5","4 out of 5","2 out of 5 stars","-12"
"143",9,"Rashid Shaheed",SEA,"WR57","11","3 out of 5","4 out of 5","3 out of 5 stars","+2"
"144",9,"Dylan Sampson",CLE,"RB47","11","4 out of 5","2 out of 5","3 out of 5 stars","+30"
"145",9,"Keaton Mitchell",LAC,"RB48","7","4 out of 5","3 out of 5","3 out of 5 stars","+14"
"146",9,"Zach Charbonnet",SEA,"RB49","11","3 out of 5","4 out of 5","4 out of 5 stars","-5"
"147",9,"Denzel Boston",CLE,"WR58","11","4 out of 5","4 out of 5","3 out of 5 stars","+20"
"148",9,"Cam Ward",TEN,"QB25","9","4 out of 5","4 out of 5","3 out of 5 stars","+65"
"149",9,"Jonah Coleman",DEN,"RB50","10","4 out of 5","4 out of 5","2 out of 5 stars","+12"
"150",9,"Brenton Strange",JAC,"TE17","7","4 out of 5","3 out of 5","3 out of 5 stars","+5"
"151",9,"Chig Okonkwo",WAS,"TE18","7","4 out of 5","4 out of 5","1 out of 5 stars","+46"
"152",9,"Dalton Schultz",HOU,"TE19","8","4 out of 5","2 out of 5","4 out of 5 stars","+26"
"153",9,"Tre Tucker",LV,"WR59","13","4 out of 5","2 out of 5","2 out of 5 stars","+18"
"154",9,"Houston Texans",HOU,"DST1","8","-","-","2 out of 5 stars","-54"
"155",9,"Alvin Kamara",NO,"RB51","8","3 out of 5","4 out of 5","3 out of 5 stars","+2"
"156",9,"Hunter Henry",NE,"TE20","11","2 out of 5","4 out of 5","4 out of 5 stars","0"
"157",9,"Isiah Pacheco",DET,"RB52","6","3 out of 5","4 out of 5","5 out of 5 stars","-3"
"158",9,"Adonai Mitchell",NYJ,"WR60","13","4 out of 5","4 out of 5","4 out of 5 stars","+73"
"159",9,"Tyrone Tracy Jr.",NYG,"RB53","8","2 out of 5","5 out of 5","4 out of 5 stars","+32"
"160",10,"Mike Washington Jr.",LV,"RB54","13","4 out of 5","4 out of 5","2 out of 5 stars","-22"
"161",10,"Bryce Young",CAR,"QB26","5","2 out of 5","4 out of 5","2 out of 5 stars","+67"
"162",10,"Tank Bigsby",PHI,"RB55","10","4 out of 5","4 out of 5","4 out of 5 stars","+7"
"163",10,"Jerry Jeudy",CLE,"WR61","11","1 out of 5","4 out of 5","3 out of 5 stars","+16"
"164",10,"Braelon Allen",NYJ,"RB56","13","2 out of 5","4 out of 5","3 out of 5 stars","+35"
"165",10,"Denver Broncos",DEN,"DST2","10","-","-","4 out of 5 stars","-49"
"166",10,"Jalen McMillan",TB,"WR62","10","4 out of 5","4 out of 5","4 out of 5 stars","+39"
"167",10,"Jauan Jennings",MIN,"WR63","6","2 out of 5","4 out of 5","5 out of 5 stars","+39"
"168",10,"Los Angeles Rams",LAR,"DST3","11","-","-","2 out of 5 stars","-50"
"169",10,"Seattle Seahawks",SEA,"DST4","11","-","-","2 out of 5 stars","-46"
"170",10,"Kayshon Boutte",HOU,"WR64","8","3 out of 5","4 out of 5","3 out of 5 stars","+33"
"171",10,"Tre' Harris",LAC,"WR65","7","4 out of 5","2 out of 5","2 out of 5 stars","+64"
"172",10,"Brian Robinson Jr.",ATL,"RB57","11","2 out of 5","4 out of 5","2 out of 5 stars","-8"
"173",10,"Dontayvion Wicks",PHI,"WR66","10","4 out of 5","4 out of 5","4 out of 5 stars","+82"
"174",10,"Omar Cooper Jr.",NYJ,"WR67","13","4 out of 5","4 out of 5","4 out of 5 stars","+48"
"175",10,"Ryan Flournoy",DAL,"WR68","14","4 out of 5","3 out of 5","2 out of 5 stars","+89"
"176",10,"T.J. Hockenson",MIN,"TE21","6","3 out of 5","4 out of 5","4 out of 5 stars","-11"
"177",10,"Philadelphia Eagles",PHI,"DST5","10","-","-","0 out of 5 stars","-37"
"178",10,"Brandon Aubrey",DAL,"K1","14","5 out of 5","1 out of 5","2 out of 5 stars","-81"
"179",10,"Pat Bryant",DEN,"WR69","10","3 out of 5","4 out of 5","2 out of 5 stars","+97"
"180",10,"Pittsburgh Steelers",PIT,"DST6","9","-","-","5 out of 5 stars","-29"
"181",10,"Jacoby Brissett",ARI,"QB27","14","2 out of 5","5 out of 5","2 out of 5 stars","+62"
"182",10,"Emmett Johnson",KC,"RB58","5","4 out of 5","4 out of 5","3 out of 5 stars","+18"
"183",10,"New England Patriots",NE,"DST7","11","-","-","3 out of 5 stars","-30"
"184",10,"Ray Davis",BUF,"RB59","7","4 out of 5","4 out of 5","2 out of 5 stars","+39"
"185",10,"Minnesota Vikings",MIN,"DST8","6","-","-","1 out of 5 stars","-25"
"186",10,"Jalen Nailor",LV,"WR70","13","-","-","2 out of 5 stars","+18"
"187",10,"Malik Washington",MIA,"WR71","6","3 out of 5","4 out of 5","3 out of 5 stars","+33"
"188",10,"Travis Hunter",JAC,"WR72","7","3 out of 5","4 out of 5","4 out of 5 stars","+28"
"189",10,"Jacksonville Jaguars",JAC,"DST9","7","-","-","3 out of 5 stars","-16"
"190",10,"Cameron Dicker",LAC,"K2","7","5 out of 5","1 out of 5","2 out of 5 stars","-59"
"191",10,"Kimani Vidal",LAC,"RB60","7","1 out of 5","4 out of 5","3 out of 5 stars","+48"
"192",10,"Ka'imi Fairbairn",HOU,"K3","8","5 out of 5","1 out of 5","2 out of 5 stars","-60"
"193",10,"Los Angeles Chargers",LAC,"DST10","7","-","-","3 out of 5 stars","-18"
"194",10,"Keenan Allen",IND,"WR73","13","3 out of 5","3 out of 5","4 out of 5 stars","-32"
"195",10,"Calvin Ridley",TEN,"WR74","9","2 out of 5","4 out of 5","3 out of 5 stars","-2"
"196",10,"Terrance Ferguson",LAR,"TE22","11","4 out of 5","4 out of 5","4 out of 5 stars","+5"
"197",10,"AJ Barner",SEA,"TE23","11","4 out of 5","2 out of 5","3 out of 5 stars","+11"
"198",10,"Baltimore Ravens",BAL,"DST11","13","-","-","5 out of 5 stars","-40"
"199",10,"Cam Little",JAC,"K4","7","-","-","4 out of 5 stars","-50"
"200",10,"Jason Myers",SEA,"K5","11","4 out of 5","1 out of 5","4 out of 5 stars","-65"
"201",10,"Jaylin Noel",HOU,"WR75","8","4 out of 5","3 out of 5","3 out of 5 stars","+71"
"202",11,"Oronde Gadsden II",LAC,"TE24","7","3 out of 5","4 out of 5","4 out of 5 stars","+16"
"203",11,"Sean Tucker",TB,"RB61","10","3 out of 5","4 out of 5","2 out of 5 stars","+42"
"204",11,"Tyler Loop",BAL,"K6","13","-","-","3 out of 5 stars","-20"
"205",11,"Kansas City Chiefs",KC,"DST12","5","-","-","3 out of 5 stars","+4"
"206",11,"Eddy Pineiro",SF,"K7","8","4 out of 5","1 out of 5","5 out of 5 stars","-21"
"207",11,"James Conner",ARI,"RB62","14","3 out of 5","4 out of 5","2 out of 5 stars","+8"
"208",11,"Nicholas Singleton",TEN,"RB63","9","3 out of 5","4 out of 5","3 out of 5 stars","+30"
"209",11,"Gunnar Helm",TEN,"TE25","9","3 out of 5","4 out of 5","3 out of 5 stars","+64"
"210",11,"Kenyon Sadiq",NYJ,"TE26","13","4 out of 5","4 out of 5","4 out of 5 stars","-40"
"211",11,"Green Bay Packers",GB,"DST13","11","-","-","2 out of 5 stars","-25"
"212",11,"Aaron Rodgers",PIT,"QB28","9","2 out of 5","4 out of 5","2 out of 5 stars","+24"
"213",11,"Geno Smith",NYJ,"QB29","13","2 out of 5","4 out of 5","4 out of 5 stars","+162"
"214",11,"Jake Bates",DET,"K8","6","4 out of 5","2 out of 5","5 out of 5 stars","-51"
"215",11,"Tank Dell",HOU,"WR76","8","4 out of 5","4 out of 5","3 out of 5 stars","-34"
"216",11,"Cooper Kupp",SEA,"WR77","11","2 out of 5","4 out of 5","3 out of 5 stars","-27"
"217",11,"Darnell Mooney",NYG,"WR78","8","3 out of 5","4 out of 5","4 out of 5 stars","+77"
"218",11,"Cairo Santos",CHI,"K9","10","3 out of 5","3 out of 5","0 out of 5 stars","-24"
"219",11,"Isaac TeSlaa",DET,"WR79","6","3 out of 5","4 out of 5","4 out of 5 stars","+42"
"220",11,"Rashod Bateman",BAL,"WR80","13","3 out of 5","4 out of 5","4 out of 5 stars","+55"
"221",11,"Evan McPherson",CIN,"K10","6","4 out of 5","2 out of 5","2 out of 5 stars","-34"
"222",11,"Troy Franklin",DEN,"WR81","10","1 out of 5","5 out of 5","2 out of 5 stars","+65"
"223",11,"Detroit Lions",DET,"DST14","6","-","-","5 out of 5 stars","-47"
"224",11,"Jaydon Blue",DAL,"RB64","14","4 out of 5","4 out of 5","4 out of 5 stars","+3"
"225",11,"Chase McLaughlin",TB,"K11","10","4 out of 5","2 out of 5","3 out of 5 stars","-8"
"226",11,"Andy Borregales",NE,"K12","11","-","-","1 out of 5 stars","+6"
"227",11,"Harrison Mevis",LAR,"K13","11","4 out of 5","2 out of 5","2 out of 5 stars","-59"
"228",11,"Pat Freiermuth",PIT,"TE27","9","3 out of 5","3 out of 5","2 out of 5 stars","+14"
"229",11,"Cleveland Browns",CLE,"DST15","11","-","-","5 out of 5 stars","-31"
"230",11,"Kaytron Allen",WAS,"RB65","7","2 out of 5","4 out of 5","4 out of 5 stars","+17"
"231",11,"Emanuel Wilson",SEA,"RB66","11","2 out of 5","4 out of 5","4 out of 5 stars","+68"
"232",11,"Buffalo Bills",BUF,"DST16","7","-","-","3 out of 5 stars","-40"
"233",11,"Ja'Kobi Lane",BAL,"WR82","13","4 out of 5","4 out of 5","4 out of 5 stars","-61"
"234",11,"Cade Otton",TB,"TE28","10","2 out of 5","4 out of 5","2 out of 5 stars","+6"
"235",11,"Germie Bernard",PIT,"WR83","9","2 out of 5","4 out of 5","3 out of 5 stars","+43"
"236",11,"Antonio Williams",WAS,"WR84","7","4 out of 5","2 out of 5","2 out of 5 stars","+33"
"237",11,"Zachariah Branch",ATL,"WR85","11","2 out of 5","4 out of 5","3 out of 5 stars","+22"
"238",11,"Greg Dulcich",MIA,"TE29","6","4 out of 5","4 out of 5","5 out of 5 stars","-24"
"239",11,"George Holani",SEA,"RB67","11","3 out of 5","4 out of 5","4 out of 5 stars","+29"
"240",11,"Jaylen Wright",MIA,"RB68","6","-","-","3 out of 5 stars","+10"
"241",11,"Justice Hill",BAL,"RB69","13","-","-","3 out of 5 stars","-20"
"242",11,"Caleb Douglas",MIA,"WR86","6","3 out of 5","4 out of 5","3 out of 5 stars","-18"
"243",11,"Kaelon Black",SF,"RB70","8","3 out of 5","4 out of 5","2 out of 5 stars","-41"
"244",11,"Chris Bell",MIA,"WR87","6","3 out of 5","4 out of 5","3 out of 5 stars","+2"
"245",11,"Malachi Fields",NYG,"WR88","8","4 out of 5","4 out of 5","4 out of 5 stars","-11"
"246",11,"Jack Bech",LV,"WR89","13","3 out of 5","4 out of 5","2 out of 5 stars","+47"
"247",11,"Keon Coleman",BUF,"WR90","7","2 out of 5","4 out of 5","4 out of 5 stars","+45"
"248",11,"Chris Boswell",PIT,"K14","9","4 out of 5","2 out of 5","4 out of 5 stars","-38"
"249",11,"Harrison Butker",KC,"K15","5","-","-","5 out of 5 stars","-69"
"250",11,"David Njoku",LAC,"TE30","7","4 out of 5","4 out of 5","4 out of 5 stars","-39"
"251",11,"Evan Engram",DEN,"TE31","10","-","-","4 out of 5 stars","+104"
"252",11,"Devaughn Vele",NO,"WR91","8","2 out of 5","4 out of 5","3 out of 5 stars","+1"
"253",12,"Fernando Mendoza",LV,"QB30","13","4 out of 5","3 out of 5","1 out of 5 stars","-28"
"254",12,"Ted Hurst III",TB,"WR92","10","4 out of 5","4 out of 5","4 out of 5 stars","+34"
"255",12,"Chimere Dike",TEN,"WR93","9","1 out of 5","5 out of 5","3 out of 5 stars","+7"
"256",12,"Najee Harris",NYG,"RB71","8","2 out of 5","4 out of 5","4 out of 5 stars","-19"
"257",12,"Isaiah Davis",NYJ,"RB72","13","2 out of 5","4 out of 5","3 out of 5 stars","+362"
"258",12,"Demond Claiborne",MIN,"RB73","6","3 out of 5","4 out of 5","4 out of 5 stars","+51"
"259",12,"Ollie Gordon II",MIA,"RB74","6","3 out of 5","4 out of 5","3 out of 5 stars","+141"
"260",12,"Ty Johnson",BUF,"RB75","7","-","-","2 out of 5 stars","+223"
"261",12,"Elic Ayomanor",TEN,"WR94","9","1 out of 5","5 out of 5","3 out of 5 stars","+53"
"262",12,"Samaje Perine",CIN,"RB76","6","2 out of 5","5 out of 5","2 out of 5 stars","+15"
"263",12,"LeQuint Allen Jr.",JAC,"RB77","7","2 out of 5","4 out of 5","4 out of 5 stars","+151"
"264",12,"Jordan James",SF,"RB78","8","2 out of 5","4 out of 5","2 out of 5 stars","-35"
"265",12,"Colby Parkinson",LAR,"TE32","11","-","-","4 out of 5 stars","+38"
"266",12,"Cyrus Allen",KC,"WR95","5","4 out of 5","4 out of 5","2 out of 5 stars","-70"
"267",12,"Tory Horton",SEA,"WR96","11","3 out of 5","4 out of 5","3 out of 5 stars","+29"
"268",12,"Wil Lutz",DEN,"K16","10","-","-","1 out of 5 stars","-61"
"269",12,"Tyquan Thornton",KC,"WR97","5","2 out of 5","5 out of 5","2 out of 5 stars","+149"
"270",12,"Will Reichard",MIN,"K17","6","-","-","2 out of 5 stars","-82"
"271",12,"Chris Brooks",GB,"RB79","11","2 out of 5","4 out of 5","4 out of 5 stars","+136"
"272",12,"Tua Tagovailoa",ATL,"QB31","11","2 out of 5","5 out of 5","4 out of 5 stars","+13"
"273",12,"Darius Slayton",NYG,"WR98","8","2 out of 5","4 out of 5","4 out of 5 stars","+200"
"274",12,"Christian Kirk",SF,"WR99","8","2 out of 5","4 out of 5","2 out of 5 stars","-18"
"275",12,"Mason Taylor",NYJ,"TE33","13","1 out of 5","4 out of 5","4 out of 5 stars","+9"
"276",12,"Elijah Sarratt",BAL,"WR100","13","4 out of 5","4 out of 5","4 out of 5 stars","+50"
"277",12,"Xavier Legette",CAR,"WR101","5","2 out of 5","4 out of 5","2 out of 5 stars","+190"
"278",12,"Malik Davis",DAL,"RB80","14","-","-","4 out of 5 stars","+127"
"279",12,"Marvin Mims Jr.",DEN,"WR102","10","3 out of 5","4 out of 5","2 out of 5 stars","+12"
"280",12,"Devin Neal",NO,"RB81","8","2 out of 5","4 out of 5","3 out of 5 stars","+51"
"281",12,"Michael Penix Jr.",ATL,"QB32","11","2 out of 5","5 out of 5","4 out of 5 stars","0"
"282",12,"DJ Giddens",IND,"RB82","13","2 out of 5","4 out of 5","4 out of 5 stars","+148"
"283",12,"Theo Johnson",NYG,"TE34","8","1 out of 5","5 out of 5","3 out of 5 stars","+32"
"284",12,"Atlanta Falcons",ATL,"DST17","11","-","-","4 out of 5 stars","-51"
"285",12,"Seth McGowan",IND,"RB83","13","4 out of 5","4 out of 5","4 out of 5 stars","+23"
"286",12,"San Francisco 49ers",SF,"DST18","8","-","-","3 out of 5 stars","-56"
"287",12,"Deshaun Watson",CLE,"QB33","11","1 out of 5","5 out of 5","4 out of 5 stars","+97"
"288",12,"Kirk Cousins",LV,"QB34","13","2 out of 5","4 out of 5","1 out of 5 stars","+12"
"289",12,"Kyle Williams",NE,"WR103","11","3 out of 5","4 out of 5","2 out of 5 stars","-32"
"290",12,"Eli Stowers",PHI,"TE35","10","4 out of 5","4 out of 5","4 out of 5 stars","-32"
"291",12,"Kendre Miller",NO,"RB84","8","2 out of 5","4 out of 5","3 out of 5 stars","+34"
"292",12,"Shedeur Sanders",CLE,"QB35","11","3 out of 5","4 out of 5","4 out of 5 stars","-43"
"293",12,"New Orleans Saints",NO,"DST19","8","-","-","5 out of 5 stars","-45"
"294",12,"Brashard Smith",KC,"RB85","5","-","-","3 out of 5 stars","+41"
"295",12,"Emari Demercado",KC,"RB86","5","1 out of 5","5 out of 5","3 out of 5 stars","+75"
"296",12,"Adam Randall",BAL,"RB87","13","4 out of 5","4 out of 5","3 out of 5 stars","+350"
"297",12,"Hollywood Brown",PHI,"WR104","10","-","-","4 out of 5 stars","+5"
"298",12,"Mike Gesicki",CIN,"TE36","6","-","-","3 out of 5 stars","+59"
"299",12,"Devin Singletary",NYG,"RB88","8","1 out of 5","5 out of 5","4 out of 5 stars","-20"
"300",12,"Mack Hollins",NE,"WR105","11","-","-","2 out of 5 stars","+337"
"301",12,"Kaleb Johnson",GB,"RB89","11","2 out of 5","5 out of 5","4 out of 5 stars","+35"
"302",13,"Indianapolis Colts",IND,"DST20","13","-","-","5 out of 5 stars","-31"
"303",13,"Isaiah Bond",CLE,"WR106","11","-","-","3 out of 5 stars","+267"
"304",13,"Trey Benson",ARI,"RB90","14","1 out of 5","5 out of 5","2 out of 5 stars","+12"
"305",13,"Skyler Bell",BUF,"WR107","7","-","-","4 out of 5 stars","+27"
"306",13,"Brandon Aiyuk",SF,"WR108","8","2 out of 5","5 out of 5","2 out of 5 stars","-36"
"307",13,"Trevor Etienne",CAR,"RB91","5","-","-","1 out of 5 stars","+323"
"308",13,"Jake Tonges",SF,"TE37","8","-","-","3 out of 5 stars","-10"
"309",13,"Darren Waller",CAR,"TE38","5","-","-","2 out of 5 stars","+94"
"310",13,"Jarquez Hunter",MIA,"RB92","6","-","-","3 out of 5 stars","+84"
"311",13,"Chicago Bears",CHI,"DST21","10","-","-","2 out of 5 stars","-116"
"312",13,"Andrei Iosivas",CIN,"WR109","6","-","-","4 out of 5 stars","+98"
"313",13,"Jaleel McLaughlin",DEN,"RB93","10","-","-","2 out of 5 stars","+312"
"314",13,"Charlie Smyth",NO,"K18","8","-","-","5 out of 5 stars","+69"
"315",13,"Isaac Guerendo",SF,"RB94","8","-","-","2 out of 5 stars","+242"
"316",13,"Jerome Ford",WAS,"RB95","7","2 out of 5","4 out of 5","4 out of 5 stars","+284"
"317",13,"DeMario Douglas",NE,"WR110","11","-","-","2 out of 5 stars","+272"
"318",13,"Audric Estime",NO,"RB96","8","-","-","3 out of 5 stars","+12"
"319",13,"Tyreek Hill",FA,"WR111","-","1 out of 5","5 out of 5","-","-75"
"320",13,"Darnell Washington",PIT,"TE39","9","-","-","2 out of 5 stars","-31"
"321",13,"Jahan Dotson",ATL,"WR112","11","-","-","3 out of 5 stars","+219"
"322",13,"Michael Mayer",LV,"TE40","13","-","-","3 out of 5 stars","+155"
"323",13,"Tahj Brooks",CIN,"RB97","6","-","-","2 out of 5 stars","+158"
"324",13,"Will Shipley",PHI,"RB98","10","-","-","4 out of 5 stars","+204"
"325",13,"Oscar Delp",NO,"TE41","8","4 out of 5","4 out of 5","2 out of 5 stars","+236"
"326",13,"Charlie Kolar",LAC,"TE42","7","-","-","4 out of 5 stars","+72"
"327",13,"Elijah Arroyo",SEA,"TE43","11","-","-","3 out of 5 stars","+14"
"328",13,"Bryce Lance",NO,"WR113","8","-","-","3 out of 5 stars","+52"
"329",13,"Jalen Tolbert",MIA,"WR114","6","-","-","3 out of 5 stars","+187"
"330",13,"Xavier Hutchinson",HOU,"WR115","8","-","-","3 out of 5 stars","+314"
"331",13,"Dallas Cowboys",DAL,"DST22","14","-","-","1 out of 5 stars","-141"
"332",13,"Cole Kmet",CHI,"TE44","10","-","-","2 out of 5 stars","-42"
"333",13,"Carson Beck",ARI,"QB36","14","-","-","2 out of 5 stars","+89"
"334",13,"Erick All Jr.",CIN,"TE45","6","-","-","3 out of 5 stars","-"
"335",13,"Konata Mumpfield",LAR,"WR116","11","-","-","1 out of 5 stars","+14"
"336",13,"Eli Raridon",NE,"TE46","11","-","-","4 out of 5 stars","+12"
"337",13,"Tyler Higbee",LAR,"TE47","11","-","-","4 out of 5 stars","-4"
"338",13,"Tez Johnson",TB,"WR117","10","-","-","4 out of 5 stars","+188"
"339",13,"J.J. McCarthy",MIN,"QB37","6","-","-","5 out of 5 stars","-88"
"340",13,"Jalen Royals",KC,"WR118","5","-","-","2 out of 5 stars","+96"
"341",13,"Olamide Zaccheaus",ATL,"WR119","11","-","-","3 out of 5 stars","+280"
"342",13,"Joe Mixon",FA,"RB99","-","-","-","-","-79"
